Track,Hours Played
"6 Morceaux, Op. 19, TH 133: 6. Thème original et variations. Variation 3",0.028463333333333334
"6 Morceaux, Op. 19, TH 133: 6. Thème original et variations. Variation 4",0.02221722222222222
"6 Morceaux, Op. 19, TH 133: 6. Thème original et variations. Variation 5",0.036555
"6 Morceaux, Op. 19, TH 133: 6. Thème original et variations. Variation 6",0.02987
"6 Morceaux, Op. 19, TH 133: 6. Thème original et variations. Variation 7",0.04881972222222222
"6 Morceaux, Op. 19, TH 133: 6. Thème original et variations. Variation 8",0.0276475
"6 Morceaux, Op. 19, TH 133: 6. Thème original et variations. Variation 9",0.03596111111111111
"6 Morceaux, Op. 19: No. 4. Nocturne in C-Sharp Minor",0.059166666666666666
"6 Pieces, Op. 21, TH 134: 1. Prélude",0.04591722222222222
"6 Pieces, Op. 21, TH 134: 2. Fugue à 4 voix",0.056766944444444446
"6 Pieces, Op. 21, TH 134: 3. Impromptu",0.03640555555555555
"6 Pieces, Op. 21, TH 134: 4. Marche funèbre",0.10677055555555555
"6 Pieces, Op. 21, TH 134: 5. Mazurque",0.13494777777777778
"6 Pieces, Op. 21, TH 134: 6. Scherzo",0.21782305555555553
"6 Pieces, Op. 51, TH 143: 2. Polka peu dansante",0.08526416666666667
"6 Pieces, Op. 51, TH 143: 3. Menuetto scherzoso",0.06285638888888889
"6 Pieces, Op. 51, TH 143: 4. Natha-Valse",0.06055888888888889
"6 Pieces, Op. 51, TH 143: 6. Valse sentimentale",0.09146166666666666
"6 Pieces, Op. 51, TH.143: 2. Polka peu dansante",0.15875555555555557
"6 Romances, Op. 73: No. 6. Again, as Before, Alone, ""Solitude"" (arr. L. Stokowski for orchestra)",0.11470333333333334
Act I - Entrée d'Aurore,0.033259166666666666
Act I - Finale,0.11423333333333334
Act I - Pas d'action: Coda,0.04212944444444444
Act I - Pas d'action: Rose Adage,0.10905916666666667
Act I - Pas d'action: Variation d'Aurore,0.057285
Act I - Scène,0.0518
Act I - Valse,0.08341472222222222
Act II - Colin-maillard,0.01730361111111111
Act II - Entr'acte,0.011931388888888889
Act II - Entr'acte et scène,0.04537027777777778
Act II - Panorama,0.03555916666666667
Act II - Pas d'action,0.08703333333333334
Act II - Scène,0.07453166666666666
Act II - Variation d'Aurore,0.027055555555555555
Act II: Sugarplum Fairy,0.03669611111111111
"Album for the Young, Op. 39: No. 3. Mamma (Maman)",0.001793888888888889
"Album pour Enfants, Op. 39: Douce rêverie",0.06148111111111111
"Album pour Enfants, Op. 39: L'orgue de barberie",0.03895777777777778
"Album pour Enfants, Op. 39: Maman",0.04135722222222222
"Album pour Enfants, Op. 39: Prière de matin",0.040815
"All-Night Vigil, Op. 52, TH 77 (Excerpts): No. 1, Bless My Soul, O Lord",0.1135075
"All-Night Vigil, Op. 52, TH 77 (Excerpts): No. 3, Kathisma. Blessed Is the Man",0.017106944444444445
"Anastasie-Valse, TH 119",0.05413916666666667
"Aveu passionné in E Minor, TH 148",0.3232663888888889
"Capriccio Italien, Op. 45, TH. 47: Andante un poco rubato",1.3581691666666666
"Capriccio in G-Flat Major, Op. 8, TH 130",0.4668555555555556
"Capriccio italien, Op. 45, TH. 47",0.2677527777777778
"Capricho italiano, Op. 45 - Andante un poco rubatto. Allegro vivace. Tarantella",0.2588886111111111
"Children's Album, Op. 39",0.014030833333333333
"Children's Album, Op. 39, TH 141: 1. Morning Prayer",0.05692694444444445
"Children's Album, Op. 39, TH 141: 10. Polka",0.013276944444444444
"Children's Album, Op. 39, TH 141: 14. Kamarinskaya",0.007317777777777778
"Children's Album, Op. 39, TH 141: 15. Italian Song",0.019466944444444443
"Children's Album, Op. 39, TH 141: 18. Neapolitan Song",0.018294444444444443
"Children's Album, Op. 39, TH 141: 2. Winter Morning",0.023319444444444445
"Children's Album, Op. 39, TH 141: 20. Baba Yaga the Witch",0.0031675
"Children's Album, Op. 39, TH 141: 20. The Sorcerer",0.010812222222222223
"Children's Album, Op. 39, TH 141: 21. Sweet Dream",0.08934388888888889
"Children's Album, Op. 39, TH 141: 24. The Organ-Grinder Sings",0.04086388888888889
"Children's Album, Op. 39, TH 141: 3. Mama",0.046413333333333334
"Children's Album, Op. 39, TH 141: 7. The Sick Doll",0.051465277777777776
"Children's Album, Op. 39, TH 141: 9. Waltz",0.023930833333333332
"Concert Fantasia, Op. 56: I. Quasi rondo",0.5177555555555555
"Concert Fantasia, Op. 56: II. Contrastes",0.23994694444444445
"Concert Suite from The Nutcracker, Op. 71: III. Tarantella",0.024525833333333334
"Concerto in D Major for Violin and Orchestra, Op. 35: III. Finale: Allegro vivacissimo",0.3443925
"Dmitri the Pretender and Vasily Shuisky, TH 16: 2. Mazurka in D Minor (Arr. Piano)",0.0394575
"Dumka, Op. 59, TH 145: Russian Rustic Scene",0.3638366666666667
"El Cascanueces, suite Op. 71 a - Danza Rusa",0.0208325
"El Cascanueces, suite Op. 71 a - Danza china",0.023610833333333334
"El Cascanueces, suite Op. 71 a - Danza de los militones",0.044444444444444446
"El Cascanueces, suite Op. 71 a - Danza del Hada",0.035832777777777776
"El Cascanueces, suite Op. 71 a - Danza árabe",0.06111027777777778
"El Cascanueces, suite Op. 71 a - Danzas características",0.05499972222222222
"El Cascanueces, suite Op. 71 a - Marcha",0.04638805555555556
"El Cascanueces, suite Op. 71 a - Vals de las flores",0.12277694444444444
Eugene Onegin - Polonaise - Redbook Stereo,0.008324444444444443
"Eugene Onegin, Op. 24, TH 5 / Act II: Lensky's Aria (Arr. Auer / Orch. Rot)",0.017472777777777778
"Eugene Onegin, Op. 24, TH. 5 / Act I: ""Puskai pogilabnu ya, no pryezhde""",0.23467388888888888
"Eugene Onegin, Op. 24, TH. 5 / Act I: ""Slikhali l vi za roschei glas nochnoi""",0.08444444444444445
"Eugene Onegin, Op. 24, TH. 5 / Act I: (Scene 2) Introduction and Scene. ""Nu, zaboltalas ya!""",0.14814805555555555
"Eugene Onegin, Op. 24, TH. 5 / Act I: (Scene 3) Servant Girls' Chorus. ""Dyevitsi, krasavitsi""",0.05129611111111111
"Eugene Onegin, Op. 24, TH. 5 / Act I: Closing Scene. ""A, vot i vi!""",0.04287027777777778
"Eugene Onegin, Op. 24, TH. 5 / Act I: Introduction",0.09528888888888888
"Eugene Onegin, Op. 24, TH. 5 / Act I: Peasants' Chorus and Dance. ""Bolyat moyi skori nozhenki so pokhodushki"" - ""Uzh kak po mostu, mostochku""",0.08083333333333333
"Eugene Onegin, Op. 24, TH. 5 / Act I: Scene and Aria. ""Kak ya lyublyu pod zvuki pesen etikh"" - ""Uzh kak po mostu, mostochku""",0.058936944444444445
"Eugene Onegin, Op. 24, TH. 5 / Act I: Scene and Aria. ""Zdyes on, zdyes on, Yevgeni!""",0.21145805555555555
"Eugene Onegin, Op. 24, TH. 5 / Act I: Scene and Arioso. ""Kak shchastliv, kak shchastliv ya!"" - ""Ya lyublyu vas""",0.09467388888888889
"Eugene Onegin, Op. 24, TH. 5 / Act I: Scene and Duet. ""Akh, noch minula""",0.10435166666666666
"Eugene Onegin, Op. 24, TH. 5 / Act I: Scene and Quartet. ""Mesdames! Ya na sebya vzyal smyelost""",0.07711583333333333
"Eugene Onegin, Op. 24, TH. 5 / Act I: Scene. ""Nu ti, moya vostrushka""",0.10186666666666666
"Eugene Onegin, Op. 24: (Scene 1) Introduction",0.09008888888888889
"Eugene Onegin, Op. 24: Duet and Quartet. ""Slikhali L Vi Za Roschei Glas Nochnoi""",0.11288972222222221
"Eugene Onegin, Op. 24: Peasants' Chorus and Dance. ""Bolyat Moyi Skori Nozhenki So Pokhodushki"" - ""Uzh Kak Po Mostu, Mostochku""",0.09347388888888888
"Eugene Onegin, Op. 24: Scene and Aria. ""Kak Ya Lyublyu Pod Zvuki Pesen Etikh"" - ""Uzh Kak Po Mostu, Mostochku""",0.011285277777777778
"Fate, Op. 77: Fatum (Fate), Op. 77",0.26652555555555557
Festival Coronation March in D Major,0.19250777777777778
"Festival Coronation March in D Major, TH 50",0.009384722222222221
Festival Overture On the Danish National Anthem,0.0033152777777777777
"Festival Overture on the Danish National Anthem, Op. 15",0.2133461111111111
"Francesca da Rimini, Fantasy for Orchestra, Op. 32: I. Andante lugubre",0.22598861111111113
"Francesca da Rimini, Fantasy for Orchestra, Op. 32: II. Allegro vivo",0.40721444444444443
"Francesca da Rimini, Fantasy for Orchestra, Op. 32: III. Andante cantabile non troppo",0.8063505555555556
"Francesca da Rimini, Fantasy for Orchestra, Op. 32: IV. Allegro vivo",0.2676375
"Francesca da Rimini, Op. 32",0.0053013888888888885
"Grand Sonata in G Major, Op. 37",0.07936694444444445
"Groza, Op. 76 (The Storm)",0.2378888888888889
"Hamlet Fantasy Overture, Op. 67, TH 53",0.6384072222222222
"Hamlet, Op. 67a: Overture",0.1601663888888889
I. Allegro non troppo e molto maestoso,0.0007158333333333333
II. Allegro con grazia,0.006488611111111111
"Iolanta Op. 69 / 1. Scene And Arioso Of Iolanta: ""Moy ptenčik, Iolanta, tï ustala?"" - Live",0.2746725
"Iolanta Op. 69 / 2. Scene And Chorus: ""Polno, ne nado, rodnaya"" ""Vot tebe lyutiki"" - Live",0.06759277777777778
"Iolanta Op. 69 / 3. Scene And Chorus: ""Brigitta, ėto tï?"" - Live",0.06211833333333333
"Iolanta Op. 69 / 3. Scene And Chorus: ""Spi, pust' angelï krïlami navevayut snï"" - Live",0.057354444444444444
"Iolanta Op. 69 / 4. Scene And Arioso Of The King: ""Gospod' moy, esli grešen ya"" - Live",0.05498527777777778
"Iolanta Op. 69 / 4. Scene And Arioso Of The King: ""Prizïvnïy rog"" - Live",0.1538036111111111
"Iolanta Op. 69 / 5. Scene And Monologue Of Ibn-Hakia: ""Dva mira - plotskiy i dukhovnïy"" - Live",0.0745925
"Iolanta Op. 69 / 5. Scene And Monologue Of Ibn-Hakia: ""Tvoyo lico besstrastno"" - Live",0.05283694444444444
"Iolanta Op. 69 / 6. Scene And Aria Of Robert: ""Ne toropis', zdes' tak temno"" ""Kto možet sravnit'sya"" - Live",0.09515027777777778
"Iolanta Op. 69 / 6a. Romance Of Vaudémont: ""Net! Čarï lask krasï myatežnoy"" - Live",0.06075916666666667
"Iolanta Op. 69 / 7. Scene And Duet Of Iolanta And Vaudémont: ""Odnako gde že mï?"" - Live",0.10978527777777777
"Iolanta Op. 69 / 7. Scene And Duet Of Iolanta And Vaudémont: ""Tvoyo mol?an'e neponyatno"" ""?udnïy pervenec tvoren'ya"" - Live",0.1443611111111111
"Iolanta Op. 69 / 7. Scene And Duet Of Iolanta And Vaudémont: ""Vï mne predstali kak viden'e"" - Live",0.09163694444444444
"Iolanta Op. 69 / 8. Scene: ""Iolanta!"" / ""Menya zovut podrugi"" ""Tï, osleplennïy mïsl'yu ložnoy"" - Live",0.12358944444444445
"Iolanta Op. 69 / 8. Scene: ""Net, nazovi mučen'ya, stradan'ya, bol"" - Live",0.07097777777777778
"Iolanta Op. 69 / 9. Finale: ""Blagoy, velikiy, neizmennïy"" - Live",0.06584777777777778
"Iolanta Op. 69 / 9. Finale: ""Gde ya?"" - Live",0.0339
"Iolanta Op. 69 / 9. Finale: ""Gotfrid, ya vïručat' tebya yavilsya"" - Live",0.08066305555555556
"Iolanta Op. 69 / 9. Finale: ""Prosti menya"" - Live",0.03585555555555556
"Iolanta Op. 69, TH 11: ""Atchevo eta prezhde ne znala""",0.019369722222222222
